id,clause_ref,requirement_type,text,actor,action,object,conditions,source_clause
1.26,7,performance,"At subject vehicle speeds of 60 km/h, the maximum mass is 40.00.",,ensure,maximum mass,subject vehicle speed is 60 km/h,7
1.27,5.4.2.2,functional,The AEBS function shall be automatically reactivated as soon as the conditions that led to the automatic deactivation are not present anymore.,AEBS function,shall be automatically reactivated,,as soon as the conditions that led to the automatic deactivation are not present anymore.,5.4.2.2
1.28,5.4.2.3,functional,"Where automatic deactivation of the AEBS function is a consequence of the driver manually switching off the ESC function of the vehicle, this deactivation of the AEBS shall require at least two deliberate actions by the driver.",deactivation of the AEBS,shall require,at least two deliberate actions by the driver,Where automatic deactivation of the AEBS function is a consequence of the driver manually switching off the ESC function of the vehicle,5.4.2.3
1.29,5.4.3,functional,A constant optical warning signal shall inform the driver that the AEBS function has been deactivated. The yellow warning signal specified in paragraph 5.5.4. below may be used for this purpose.,constant optical warning signal,shall inform,the driver that the AEBS function has been deactivated,,5.4.3
1.30,6.2.2,environmental,"During the series of test runs, the fuel level may decrease but shall never fall below 50 per cent.",,shall never fall,fuel level,"During the series of test runs, the fuel level may decrease",6.2.2
1.31,6.2.2.1,functional,If requested by the vehicle manufacturer: The vehicle can be driven a maximum of 100 km on a mixture of urban and rural roads with other traffic and roadside furniture to initialise the sensor system.,vehicle manufacturer,can be driven,vehicle,If requested; maximum of 100 km; on a mixture of urban and rural roads with other traffic and roadside furniture,6.2.2.1
1.32,6.2.2.1,functional,If requested by the vehicle manufacturer: The vehicle can undergo a sequence of brake activations in order to ensure the service brake system is bedded in prior to the test.,vehicle manufacturer,can undergo,vehicle,If requested; sequence of brake activations in order to ensure the service brake system is bedded in prior to the test,6.2.2.1
1.33,6.2.2.1,performance,"If requested by the vehicle manufacturer: The average temperature of the service brakes on the hottest axle of the vehicle, measured inside the brake linings or on the braking path of the disc or drum, is between 65 and 100°C prior to each test run.",vehicle manufacturer,is between,average temperature of the service brakes on the hottest axle of the vehicle,If requested; measured inside the brake linings or on the braking path of the disc or drum; prior to each test run,6.2.2.1
1.34,6.2.2.2,other,Details of the pre-test condition strategy requested by the vehicle manufacturer shall be identified and recorded in the vehicle type approval documentation.,vehicle manufacturer,shall be identified and recorded,Details of the pre-test condition strategy,,6.2.2.2
1.35,6.2.3,other,The mounted tyres shall be identified and recorded in the vehicle type approval documentation.,,shall be identified and recorded,mounted tyres,,6.2.3
1.36,6.2.3,functional,The mounted tyres shall be identified and recorded in the vehicle type approval documentation.,null,be identified and recorded,mounted tyres,in the vehicle type approval documentation,6.2.3
1.37,6.3.1,test,The target used for the vehicle detection tests shall be a regular high-volume series production passenger car of Category M1 AA saloon.,null,shall be,target used for the vehicle detection tests,a regular high-volume series production passenger car of Category M1 AA saloon,6.3.1
1.38,6.3.1,test,"alternatively a ""soft target"" representative of such a vehicle in terms of its identification characteristics applicable to the sensor system of the AEBS under test according to ISO 19206-3:2020.",null,shall be,"""soft target""",representative of such a vehicle in terms of its identification characteristics applicable to the sensor system of the AEBS under test according to ISO 19206-3:2020,6.3.1
1.39,6.3.1,test,The reference point for the location of the vehicle shall be the most rearward point on the centreline of the vehicle.,null,shall be,reference point for the location of the vehicle,the most rearward point on the centreline of the vehicle,6.3.1
1.40,6.3.2,test,"The target used for the pedestrian detection tests shall be a child ""articulated soft target"" and be representative of the human attributes applicable to the sensor system of the AEBS under test according to ISO 19206-2:2018.",null,shall be and be representative,target used for the pedestrian detection tests,"a child ""articulated soft target"" and representative of the human attributes applicable to the sensor system of the AEBS under test according to ISO 19206-2:2018",6.3.2
1.41,6.5,functional,"The subject vehicle and the moving target shall travel in a straight line, in the same direction, for at least two seconds prior to the functional part of the test.",subject vehicle and the moving target,shall travel,"in a straight line, in the same direction",for at least two seconds prior to the functional part of the test,6.5
1.42,6.5,performance,with a subject vehicle to target centreline offset of not more than 0.2m.,,not more than,subject vehicle to target centreline offset,0.2m,6.5
1.43,6.5,test,Tests shall be conducted with a vehicle travelling at speeds shown in tables below for respectively M1 and N1 categories and target travelling at 20 km/h (with  a  tolerance  of  +0/-2 km/h  for  the  target  vehicles).,Tests,shall be conducted,vehicle travelling at speeds shown in tables below for respectively M1 and N1 categories and target travelling at 20 km/h,(with a tolerance of +0/-2 km/h for the target vehicles),6.5
1.44,6.5,test,"If this is deemed justified, the Technical Service may test any other speeds for subject vehicle and target vehicle within the speed range as defined in paragraph 5.2.1.3.",Technical Service,may test,any other speeds for subject vehicle and target vehicle,if this is deemed justified; within the speed range as defined in paragraph 5.2.1.3,6.5
1.45,6.6.1,performance,The subject vehicle shall approach the impact point with the pedestrian target in a straight line for at least two seconds prior to the functional part of the test with an anticipated subject vehicle to impact point centreline offset of not more than 0.1 m.,subject vehicle,approach,impact point with the pedestrian target,in a straight line for at least two seconds prior to the functional part of the test with an anticipated subject vehicle to impact point centreline offset of not more than 0.1 m,6.6.1
1.46,6.6.1,test,The functional part of the test shall start when the subject vehicle is travelling at a constant speed and is at a distance corresponding to a TTC of at least 4 seconds from the collision point.,functional part of the test,start,,when the subject vehicle is travelling at a constant speed and is at a distance corresponding to a TTC of at least 4 seconds from the collision point,6.6.1
1.47,6.6,performance,"The pedestrian target shall travel in a straight line perpendicular to the subject vehicle's direction of travel at a constant speed of 5 km/h +0/-0.4 km/h, starting not before the functional part of the test has started.",The pedestrian target,travel,in a straight line perpendicular to the subject vehicle's direction of travel at a constant speed of 5 km/h +0/-0.4 km/h,starting not before the functional part of the test has started,6.6
1.48,6.6,performance,The pedestrian target's positioning shall be coordinated with the subject vehicle in such a way that the impact point of the pedestrian target on the front of the subject vehicle is on the longitudinal centreline of the subject vehicle. with a tolerance of not more than 0.1 m.,The pedestrian target,be coordinated,with the subject vehicle,so that the impact point of the pedestrian target on the front of the subject vehicle is on the longitudinal centreline of the subject vehicle with a tolerance of not more than 0.1 m,6.6
1.49,6.6,test,Tests shall be conducted with a vehicle travelling at speeds shown in tables below for respectively M1 and N1 categories.,Tests,be conducted,with a vehicle travelling at speeds shown in tables below for respectively M1 and N1 categories,,6.6
1.50,6.6,test,The technical service may test any other speeds listed in the table in paragraph 5.2.2.4. and within the prescribed speed range as defined in paragraphs 5.2.2.3.,The technical service,test,any other speeds listed in the table in paragraph 5.2.2.4.,within the prescribed speed range as defined in paragraphs 5.2.2.3,6.6
1.51,6.7.1,functional,The subject vehicle shall approach the impact point with the bicycle target in a straight line for at least two seconds prior to the functional part of the test with an anticipated subject vehicle to crankshaft of the bicycle impact point centreline offset of not more than 0.1 m.,subject vehicle,approach,impact point with the bicycle target,in a straight line for at least two seconds prior to the functional part of the test with an anticipated subject vehicle to crankshaft of the bicycle impact point centreline offset of not more than 0.1 m,6.7.1
1.52,6.7.1,functional,The functional part of the test shall start when the subject vehicle is travelling at a constant speed and is at a distance corresponding to a TTC of at least 4 seconds from the collision point.,functional part of the test,start,,when the subject vehicle is travelling at a constant speed and is at a distance corresponding to a TTC of at least 4 seconds from the collision point,6.7.1
1.53,,functional,From the start of the functional part until the subject vehicle has avoided the collision or the subject vehicle has passed the impact point with the bicycle target there shall be no adjustment to any control of the subject vehicle by the driver other than slight adjustments to the steering control to counteract any drifting.,driver,make adjustments,control of the subject vehicle,from the start of the functional part until the subject vehicle has avoided the collision or passed the impact point with the bicycle target,
1.54,,test,"The test prescribed above shall be carried out with a bicycle ""soft target"" defined in paragraph 6.3.3.",,carry out test,"bicycle ""soft target"" defined in paragraph 6.3.3",,
1.55,6.7.2,test,"The assessment of the impact speed shall be based on the actual contact point between the target and the vehicle, taking into account the vehicle shape.",,base assessment,impact speed,"on the actual contact point between the target and the vehicle, taking into account the vehicle shape",6.7.2
1.56,6.10.1,test,"Any of the above test scenarios, where a scenario describes one test setup at one subject vehicle speed at one load condition of one category (Car to Car, Car to Pedestrian, Car to Bicycle), shall be performed two times.",,performed,test scenarios,one test setup at one subject vehicle speed at one load condition of one category,6.10.1
1.57,6.10.1,performance,"If one of the two test runs fails to meet the required performance, the test may be repeated once.",,repeated,the test,one of the two test runs fails to meet the required performance,6.10.1
1.58,6.10.1,performance,A test scenario shall be accounted as passed if the required performance is met in two test runs.,,accounted,test scenario,required performance is met in two test runs,6.10.1
1.59,6.10.1,performance,The number of failed tests runs within one category shall not exceed: (a) 10.0 per cent of the performed test runs for the Car to Car tests; (b) 10.0 per cent of the performed test runs for the Car to Pedestrian tests; and (c) 20.0 per cent of the performed test runs for the Car to Bicycle tests.,,not exceed,number of failed tests runs,within one category,6.10.1
1.60,7.3,functional,The Type Approval Authority shall inform the other Contracting Parties of the extension by means of the communication form which appears in Annex 1 to this Regulation.,The Type Approval Authority,inform,the other Contracting Parties of the extension,by means of the communication form which appears in Annex 1 to this Regulation,7.3
1.61,7.3,functional,It shall assign a serial number to each extension to be known as the extension number.,It,assign,a serial number to each extension,to be known as the extension number,7.3
1.62,8.1,functional,"Procedures concerning conformity of production shall comply with those set out in the 1958 Agreement, Schedule 1 (E/ECE/TRANS/505/Rev.3)",Procedures concerning conformity of production,comply,"those set out in the 1958 Agreement, Schedule 1 (E/ECE/TRANS/505/Rev.3)",,8.1
1.63,8.2,functional,A vehicle approved pursuant to this Regulation shall be so manufactured as to conform to the type approved by meeting the requirements of paragraph 5. above,A vehicle,be manufactured,to conform to the type approved,by meeting the requirements of paragraph 5. above,8.2
1.64,8.3,functional,The Type Approval Authority which has granted approval may at any time verify the conformity of control methods applicable to each production unit.,The Type Approval Authority,verify,the conformity of control methods applicable to each production unit,may at any time,8.3
1.65,8.3,performance,The normal frequency of such inspections shall be once every two years.,such inspections,shall be,once every two years,The normal frequency,8.3
1.66,9.1,other,"The approval granted in respect of a vehicle type pursuant to this Regulation may be withdrawn if the requirements laid down in paragraph 8, above are not complied with.",The regulatory authority,withdraw,the approval granted in respect of a vehicle type,"if the requirements laid down in paragraph 8, above are not complied with",9.1
1.67,9.2,other,"If a Contracting Party withdraws an approval it had previously granted, it shall forthwith so notify the other Contracting Parties applying this Regulation by sending them a communication form conforming to the model in Annex 1 to this Regulation.",Contracting Party,notify,the other Contracting Parties,if it withdraws an approval it had previously granted,9.2
1.68,10.1,functional,Approval to car to car scenario granted/refused/extended/withdrawn: 2,,granted/refused/extended/withdrawn,approval to car to car scenario,,10.1
1.69,10.2,functional,Approval to car to pedestrian scenario granted/refused/extended/withdrawn: 2,,granted/refused/extended/withdrawn,approval to car to pedestrian scenario,,10.2
1.70,2.4,interface,"A function which is over-ridden becomes part of the complex system, as well as any overriding system/function within the scope of this Regulation.",,becomes part of,"the complex system, as well as any overriding system/function",within the scope of this Regulation,2.4
1.71,2.4,interface,The transmission links to and from overriding systems/function outside of the scope of this Regulation shall also be included.,,be included,the transmission links to and from overriding systems/function,outside of the scope of this Regulation,2.4
1.72,3.4.4,environmental,"Additional material and analysis data of paragraph 3.4.4. which shall be retained by the manufacturer, but made open for inspection at the time of type approval.",manufacturer,retain,material and analysis data of paragraph 3.4.4,made open for inspection at the time of type approval,3.4.4
1.73,3.4.4,environmental,The manufacturer shall ensure that this material and analysis data remains available for a period of 10 years counted from the time when production of the vehicle is definitely discontinued.,manufacturer,ensure,material and analysis data,remains available for a period of 10 years counted from the time when production of the vehicle is definitely discontinued,3.4.4
1.74,3.2,functional,"A description shall be provided which gives a simple explanation of all the control functions of 'The System' and the methods employed to achieve the objectives, including a statement of the mechanism(s) by which control is exercised.",,be provided,description,"gives a simple explanation of all the control functions of 'The System' and the methods employed to achieve the objectives, including a statement of the mechanism(s) by which control is exercised",3.2
1.75,3.2,functional,Any described function that can be over-ridden shall be identified and a further description of the changed rationale of the function's operation provided.,,be identified and a further description of the changed rationale of the function's operation provided,any described function that can be over-ridden,,3.2
1.76,3.2.1,interface,A list of all input and sensed variables shall be provided and the working range of these defined.,,be provided and the working range of these defined,list of all input and sensed variables,,3.2.1
1.77,3.1,test,The Technical Service may perform or may require to perform tests as specified in paragraph 4. to verify the safety concept.,Technical Service,perform or may require to perform,tests,as specified in paragraph 4. to verify the safety concept,3.1
1.78,3.4.4.1,diagnostic,"This documentation shall itemize the parameters being monitored and shall set out, for each fault condition of the type defined in paragraph 3.4.4. of this annex, the warning signal to be given to the driver and/or to service/technical inspection personnel.",This documentation,itemize,the parameters being monitored,for each fault condition of the type defined in paragraph 3.4.4.,3.4.4.1
1.79,3.4.4.1,diagnostic,"This documentation shall set out, for each fault condition of the type defined in paragraph 3.4.4. of this annex, the warning signal to be given to the driver and/or to service/technical inspection personnel.",This documentation,set out,the warning signal,for each fault condition of the type defined in paragraph 3.4.4.,3.4.4.1
1.80,4.1,test,"The functional operation of ""The System"", as laid out in the documents required in paragraph 3., shall be tested as follows:",null,tested,"The functional operation of ""The System""",as laid out in the documents required in paragraph 3.,4.1
1.81,4.1.1,test,"The Technical Service shall verify ""The System"" under non-fault conditions by testing a number of selected functions from those declared by the manufacturer in paragraph 3.2. above.",The Technical Service,verify,"""The System""",under non-fault conditions by testing a number of selected functions from those declared by the manufacturer in paragraph 3.2.,4.1.1
1.82,4.1.1,test,"For complex electronic systems, these tests shall include scenarios whereby a declared function is overridden.",null,include,scenarios whereby a declared function is overridden,For complex electronic systems,4.1.1
1.83,4.1.2,test,Verification of the safety concept of paragraph 3.4.,null,Verification,the safety concept of paragraph 3.4,null,4.1.2
1.84,4.1.2,test,"The reaction of ""The System"" shall be checked under the influence of a failure in any individual unit by applying corresponding output signals to electrical units or mechanical elements in order to simulate the effects of internal faults within the unit.",The Technical Service,check,"The reaction of ""The System""",under the influence of a failure in any individual unit by applying corresponding output signals to electrical units or mechanical elements in order to simulate the effects of internal faults within the unit,4.1.2
1.85,4.1.2,test,"The Technical Service shall conduct this check for at least one individual unit, but shall not check the reaction of ""The System"" to multiple simultaneous failures of individual units.",The Technical Service,conduct,this check,"for at least one individual unit, but shall not check the reaction of ""The System"" to multiple simultaneous failures of individual units",4.1.2
1.86,4.1.2,test,The Technical Service shall verify that these tests include aspects that may have an impact on vehicle controllability and user information (HMI aspects).,The Technical Service,verify,that these tests include aspects that may have an impact on vehicle controllability and user information (HMI aspects),,4.1.2
1.87,4.1.2.1,test,"The verification results shall correspond with the documented summary of the failure analysis, to a level of overall effect such that the safety concept and execution are confirmed as being adequate.",,correspond,the documented summary of the failure analysis,to a level of overall effect such that the safety concept and execution are confirmed as being adequate,4.1.2.1
1.88,,test,The following scenarios shall be used to assess the system's strategies implemented in order to minimize the generation of false reactions.,,use,scenarios,to assess the system's strategies implemented in order to minimize the generation of false reactions,
1.89,,other,For each type of scenario the vehicle manufacturer shall explain the principle strategies implemented to ensure safety.,vehicle manufacturer,explain,principle strategies,implemented to ensure safety,
1.90,,test,"The manufacturer shall provide evidence (e.g. simulation results, real-world test data, track test data) of the system's behaviour in the described types of scenarios.",manufacturer,provide,"evidence (e.g. simulation results, real-world test data, track test data)",of the system's behaviour in the described types of scenarios,
1.91,,performance,The parameters described in subparagraph 2 of each scenario shall be used as guidance if the Technical Service deems a demonstration of the scenario necessary.,,use,parameters described in subparagraph 2 of each scenario,as guidance if the Technical Service deems a demonstration of the scenario necessary,
1.92,,other,The direction of offset to the driver's seat side is defined as plus (+) [m].,,define,direction of offset,to the driver's seat side,
1.93,,other,"When measuring the width of the vehicle, sensors, devices for indirect vision, door handles, and connections for tyre-pressure gauges are not included.",,not include,"sensors, devices for indirect vision, door handles and connections for tyre-pressure gauges",when measuring the width of the vehicle,
1.94,3.2,performance,The subject vehicle drives at a speed of 30 (with a tolerance of +0/-2 km/h) km/h toward the curve of which the radius is not more than 25 m at the outer side of the road.,subject vehicle,drives,curve,speed of 30 (with a tolerance of +0/-2 km/h) km/h; radius not more than 25 m at the outer side of the road,3.2
1.95,3.2,performance,The subject vehicle decelerates by braking to a speed of not less than 22 km/h at a point where the subject vehicle enters the curve.,subject vehicle,decelerates by braking,speed of not less than 22 km/h,at a point where the subject vehicle enters the curve,3.2
1.96,3.2,performance,The TTC to the stationary object is not more than 1.6 seconds at when the subject vehicle begins to turn in the curve.,TTC,is not more than,1.6 seconds,when the subject vehicle begins to turn in the curve,3.2
1.97,3.2,performance,"In the curve, the subject vehicle drives outer lane than the centre of the road.",subject vehicle,drives,outer lane,"in the curve, than the centre of the road",3.2
1.98,3.2,performance,The subject vehicle continue to turn in the curve at a constant speed of not less than 21 km/h.,subject vehicle,continue to turn,curve,at a constant speed of not less than 21 km/h,3.2
1.99,3.2,performance,"The TTC to the stationary object is not more than 1.1 second at when the overlap ratio between the subject vehicle and the stationary vehicle becomes 0 per cent, or at when the offset ratio between the subject vehicle and the centre of the stationary pedestrian target or the stationary bicycle target becomes -100 per cent.",TTC,is not more than,1.1 second,"at when the overlap ratio between the subject vehicle and the stationary vehicle becomes 0 per cent, or at when the offset ratio between the subject vehicle and the centre of the stationary pedestrian target or the stationary bicycle target becomes -100 per cent",3.2
