id,clause_ref,requirement_type,text,actor,action,object,conditions,source_clause
1.62,,performance,NHTSA is specifying minimum performance requirements for pedestrian avoidance in dark conditions.,NHTSA,specifying,minimum performance requirements for pedestrian avoidance,in dark conditions,
1.63,,functional,Vehicle manufacturers are responsible for mitigating and resolving any defects in their vehicle products.,Vehicle manufacturers,are responsible for mitigating and resolving,any defects in their vehicle products,,
1.64,,functional,"It is up to manufacturers to design their AEB systems to deal with situations where the driver is following close to the vehicle in front of it, and the lead vehicle decelerates between 0 and 0.3 g.",manufacturers,design,their AEB systems,"situations where the driver is following close to the vehicle in front of it, and the lead vehicle decelerates between 0 and 0.3 g",
1.65,,functional,They must determine what is a false positive and what is an actual positive.,manufacturers,must determine,what is a false positive and what is an actual positive,,
1.66,5,test,The test ensures that the act of late manual braking does not disrupt or disengage crash imminent braking functionality.,The test,ensures,the act of late manual braking,does not disrupt or disengage crash imminent braking functionality,5
1.67,"Section 7, MISCELLANEOUS COMMENTS",test,NHTSA may test the vehicle at the maximum speed the vehicle can achieve in its operational design domain.,NHTSA,test,the vehicle,at the maximum speed the vehicle can achieve in its operational design domain,7. MISCELLANEOUS COMMENTS
1.68,"Section 7, MISCELLANEOUS COMMENTS",functional,Zoox must certify compliance to all speeds up to the maximum speed its vehicles are capable of being driven.,Zoox,certify compliance,to all speeds up to the maximum speed its vehicles are capable of being driven,if the speed limitation in Zoox's vehicles are solely due to ADS programming and the vehicle itself is not speed limited,7. MISCELLANEOUS COMMENTS
1.69,"Section 7, MISCELLANEOUS COMMENTS",functional,Zoox must certify that AEB operates as required by this final rule at speeds up to 90 mph.,Zoox,certify,that AEB operates as required by this final rule at speeds up to 90 mph,"if Zoox's ADS is programmed to drive at speeds up to 45 mph, but the vehicle has functionality that would allow it to be driven at speeds up to 90 mph",7. MISCELLANEOUS COMMENTS
1.70,,functional,The PAEB system must have sufficient information upon which to base its decision to apply braking force.,PAEB system,have,sufficient information,upon which to base its decision to apply braking force,
1.71,,functional,NHTSA should allow low speed contact up to 15 km/h (9.3 mph).,NHTSA,allow,low speed contact,up to 15 km/h (9.3 mph),
1.72,,performance,"IIHS, and UNECE Regulation No. 152 and No. 131, require a speed of less than or equal to 5 km/h, which is representative of a walking adult pedestrian.",IIHS and UNECE Regulation No. 152 and No. 131,require,speed of less than or equal to 5 km/h,representative of a walking adult pedestrian,
1.73,5,test,"For daylight testing, the ambient illumination at the test site shall be at a level similar to that on an overcast day.",,shall be,ambient illumination,daylight testing,5
1.74,5,test,The acceptable range also includes any higher illumination level including levels associated with bright sunlight on a clear day.,,includes,acceptable range,,5
1.75,5,test,"For PAEB testing in darkness, the ambient illumination at the test site must be no greater than 0.2 lux.",,must be,ambient illumination,PAEB testing in darkness,5
1.76,,test,Testing shall only be conducted when there is no wind present that is liable to affect the results.,,conducted,testing,only when there is no wind present that is liable to affect the results,
1.77,,test,The maximum test wind speed shall be reduced from 10 m/s to 5 m/s for all AEB testing.,,shall be reduced,maximum test wind speed,for all AEB testing,
1.78,[155],test,NHTSA provides the public with information on how the agency will conduct compliance tests.,NHTSA,provides,information on how the agency will conduct compliance tests,,[155]
1.79,[155],test,Manufacturers are not required to certify their vehicles using the tests in the FMVSS.,manufacturers,are not required to certify,their vehicles using the tests in the FMVSS,,[155]
1.80,,test,"The road surface can be unmarked, or marked with one, or two lines of any configuration or color, at NHTSA's option.",NHTSA,test,road surface,"within 2 m of the intended travel path, in NHTSA's tests",
1.81,,interface,"If lines are used, they must be straight, and, in the case of two lines, they must be parallel to each other and the distance between them must be from 2.7 m to 4.5 m.",,use,lines,if lines are used,
1.82,,test,"NHTSA may test user adjustable settings such as engine braking, regenerative braking, and those associated with FCW, at any available setting state.",NHTSA,test,"user adjustable settings such as engine braking, regenerative braking, and those associated with FCW",at any available setting state,
1.83,,test,Adaptive and traditional cruise control may be used in any selectable setting during testing.,,use,adaptive and traditional cruise control,in any selectable setting during testing,
1.84,,test,The agency may test vehicles with any cruise control or adaptive cruise control setting to make sure that these systems do not disrupt the ability of the AEB system to stop the vehicle in crash imminent situations.,The agency,test,vehicles with any cruise control or adaptive cruise control setting,to make sure that these systems do not disrupt the ability of the AEB system to stop the vehicle in crash imminent situations,
1.85,,test,"For vehicles that have an ESC off switch, NHTSA will keep ESC engaged for the duration of the test.",NHTSA,keep,ESC engaged,"for vehicles that have an ESC off switch, for the duration of the test",
1.86,,performance,"The purpose of the ""any"" user adjustable parameter is to ensure that driver-activated settings do not negatively impact AEB performance.",user,do not negatively impact,AEB performance,"The purpose of the ""any"" user adjustable parameter",
1.87,"S7, S8, S9",test,"NHTSA seeks to avoid a situation where use of a setting reduces the requisite performance of AEB when tested according to the parameters of S7, S8, and S9.",NHTSA,avoid,a situation where use of a setting reduces the requisite performance of AEB,"when tested according to the parameters of S7, S8, and S9",
1.88,,other,"NHTSA also sought to incorporate the word ""any"" into the standard to make clear that NHTSA has wide latitude to adjust the settings in a compliance test, in accordance with 49 CFR 571.4.",NHTSA,"incorporate the word ""any""",the standard,"to make clear that NHTSA has wide latitude to adjust the settings in a compliance test, in accordance with 49 CFR 571.4",
1.89,FMVSS_127,test,"The subject vehicle load of 277 kg (611 lbs.) is derived from agency testing, which uses the provision in NHTSA's NCAP test procedures.",NHTSA,derive,subject vehicle load of 277 kg (611 lbs.),using the provision in NHTSA's NCAP test procedures,FMVSS_127
1.90,FMVSS_127,test,The stopping performance of a fully loaded vehicle is already assessed under FMVSS No. 135.,,assess,stopping performance of a fully loaded vehicle,under FMVSS No. 135,FMVSS_127
1.91,5,functional,"NHTSA proposed that the rear silhouette and the rear window be symmetrical about a shared vertical centerline and that representations of the taillamps, rear reflex reflectors, and tires also be symmetrical about the surrogate's centerline.",NHTSA,proposed,"rear silhouette, rear window, taillamps, rear reflex reflectors, and tires","about a shared vertical centerline for silhouette and window, about the surrogate's centerline for representations",5
1.92,5,functional,"Further, the license plate representation was proposed to have a width of 300 ± 15 mm and a height of 150 ± 15 mm, and be mounted with a license plate holder angle within the range described in 49 CFR 571.108.",NHTSA,proposed,license plate representation,"width of 300 ± 15 mm, height of 150 ± 15 mm, mounted with a license plate holder angle within 49 CFR 571.108",5
1.93,5,environmental,"Lastly, NHTSA proposed that the VTD representations be located within the minimum and maximum measurement values specified in columns 3 and 4 of Table A.4 of IS0 19206-3:2021 Annex A.",NHTSA,proposed,VTD representations,"within the minimum and maximum measurement values specified in ISO 19206-3:2021 Annex A Table A.4, columns 3 and 4",5
1.94,5,environmental,The tire representations are to be located within the minimum and maximum measurement values specified in columns 3 and 4 of Table A.3 of ISO 19206-3:2021 Annex A.,,are to be located,tire representations,"within the minimum and maximum measurement values specified in ISO 19206-3:2021 Annex A Table A.3, columns 3 and 4",5
1.95,,test,NHTSA is finalizing the radar reflectivity specifications for the vehicle test device as proposed in the NPRM.,NHTSA,finalizing,radar reflectivity specifications for the vehicle test device,as proposed in the NPRM,
1.96,2,test,This rulemaking does not expand the mannequins used in new FMVSS No. 127.,rulemaking,does not expand,mannequins used in new FMVSS No. 127,,2
1.97,2,performance,There are no dimensional tolerances on the pedestrian test device.,,are,dimensional tolerances on the pedestrian test device,none,2
1.98,2,test,NHTSA's testing has not shown an issue with the dimensions specified in the NPRM.,NHTSA's testing,has not shown,an issue with the dimensions,specified in the NPRM,2
1.99,2,performance,The overall mannequin height on the sled is representative of the overall height of real pedestrians with shoes.,,is,overall mannequin height on the sled,representative of the overall height of real pedestrians with shoes,2
1.100,,performance,The requirements specified for Lead Vehicle AEB consider the need to address this safety issue by ensuring that these systems have sufficient braking authority to generate speed reductions that can prevent or mitigate real-world crashes.,Lead Vehicle AEB systems,have,sufficient braking authority,to generate speed reductions that can prevent or mitigate real-world crashes,
1.101,,functional,"requiring AEB, including PAEB technologies, on new passenger vehicles as a key Departmental action",Department,require,"AEB, including PAEB technologies, on new passenger vehicles",,
1.102,3(b),functional,Clearly specifies the preemptive effect.,Executive agencies,make effort,regulation clearly specifies the preemptive effect,,3(b)
1.103,3(b),functional,Clearly specifies the effect on existing Federal law or regulation.,Executive agencies,make effort,regulation clearly specifies the effect on existing Federal law or regulation,,3(b)
1.104,3(b),functional,"Provides a clear legal standard for affected conduct, while promoting simplification and burden reduction.",Executive agencies,make effort,regulation provides a clear legal standard for affected conduct,while promoting simplification and burden reduction,3(b)
1.105,3(b),functional,"Clearly specifies the retroactive effect, if any.",Executive agencies,make effort,regulation clearly specifies the retroactive effect,if any,3(b)
1.106,3(b),functional,Adequately defines key terms.,Executive agencies,make effort,regulation adequately defines key terms,,3(b)
1.107,3(b),functional,Addresses other important issues affecting clarity and general draftsmanship under any guidelines issued by the Attorney General.,Executive agencies,make effort,regulation addresses other important issues affecting clarity and general draftsmanship,under any guidelines issued by the Attorney General,3(b)
1.108,5 U.S.C. 801,functional,"Before a rule may take effect, the agency promulgating the rule must submit a rule report, which includes a copy of the rule, to each House of the Congress and to the Comptroller General of the United States.",the agency promulgating the rule,submit,"a rule report, which includes a copy of the rule",before a rule may take effect,5 U.S.C. 801
1.109,N/A,functional,"NHTSA will submit a report containing this rule and other required information to the U.S. Senate, the U.S. House of Representatives, and the Comptroller General of the United States prior to publication of the rule in the Federal Register.",NHTSA,submit,a report containing this rule and other required information,prior to publication of the rule in the Federal Register,Congressional Review Act
1.110,5 U.S.C. 804(2),performance,"Because this rule meets the criteria in 5 U.S.C. 804(2), it will be effective sixty days after the date of publication in the Federal Register.",rule,be effective,sixty days after the date of publication,this rule meets the criteria in 5 U.S.C. 804(2),5 U.S.C. 804(2)
1.111,,interface,A person is not required to respond to a collection of information by a Federal agency unless the collection displays a valid OMB control number.,person,not required to respond,a collection of information by a Federal agency,unless the collection displays a valid OMB control number,
1.112,,interface,NHTSA incorporates this document by reference solely to specify the location specification and symbol for a visual forward collision warning.,NHTSA,incorporates,this document by reference solely to specify the location specification and symbol for a visual forward collision warning,,
1.113,49 CFR part 596,test,"This method will be used to verify the color of certain elements of the pedestrian test mannequin to determine that the color of the hair, torso, arms, and feet of the pedestrian test mannequin is black and that the color of the legs are blue.",,verify,the color of certain elements of the pedestrian test mannequin,"to determine that the color of the hair, torso, arms, and feet of the pedestrian test mannequin is black and that the color of the legs are blue",49 CFR part 596
1.114,,functional,"The Unfunded Mandates Reform Act of 1995 requires agencies to prepare a written assessment of the costs, benefits, and other effects of proposed or final rules that include a Federal mandate likely to result in the expenditures by States, local or tribal governments, in the aggregate, or by the private sector, of more than $100 million annually (adjusted annually for inflation with base year of 1995).",agencies,prepare,"a written assessment of the costs, benefits, and other effects of proposed or final rules","that include a Federal mandate likely to result in the expenditures by States, local or tribal governments, in the aggregate, or by the private sector, of more than $100 million annually (adjusted annually for inflation with base year of 1995)",
1.115,,performance,Adjusting this amount by the implicit gross domestic product price deflator for 2021 results in an estimated current value of $165 million.,,adjust,this amount by the implicit gross domestic product price deflator for 2021,results in an estimated current value of $165 million,
1.116,TEST COMPLETION CRITERIA,test,Any test is complete when the subject vehicle comes to a complete stop without making contact with the lead vehicle or when the subject vehicle makes contact with the lead vehicle.,,is complete,test,when the subject vehicle comes to a complete stop without making contact with the lead vehicle or when the subject vehicle makes contact with the lead vehicle,TEST COMPLETION CRITERIA
1.117,,performance,Prior to the start of a test trial the lead vehicle is propelled forward in a manner such that the longitudinal center plane of the lead vehicle does not deviate laterally more than 0.3m from the intended travel path.,lead vehicle,is propelled forward,longitudinal center plane,Prior to the start of a test trial; does not deviate laterally more than 0.3m from the intended travel path,
1.118,,performance,"As the subject vehicle approaches the rear of the lead vehicle, beginning when the headway corresponds to Lo, the subject vehicle speed is maintained within 1.6 km/h of the test speed with minimal and smooth accelerator pedal inputs.",subject vehicle,speed is maintained,1.6 km/h of the test speed,"As the subject vehicle approaches the rear of the lead vehicle, beginning when the headway corresponds to Lo; with minimal and smooth accelerator pedal inputs",
1.119,,performance,"Furthermore, beginning when the headway corresponds to Lo, the subject vehicle and lead heading are to be maintained with minimal steering input such that the subject vehicle travel path does not deviate more than 0.3 m laterally from the intended travel path and the subject vehicle's yaw rate does not exceed ±1.0 deg/s.",subject vehicle,are to be maintained,heading,beginning when the headway corresponds to Lo; with minimal steering input such that the travel path does not deviate more than 0.3 m laterally from the intended travel path and the yaw rate does not exceed ±1.0 deg/s,
1.120,,performance,The commanded brake pedal position is the brake pedal position that results in a mean deceleration of 0.4 g in the absence of AEB system.,,result,mean deceleration of 0.4 g,absence of AEB system,
1.121,,performance,The pedal displacement controller depresses the pedal at a rate of 254 mm/s ±25.4 mm/s to the commanded brake pedal position.,pedal displacement controller,depress,pedal,at a rate of 254 mm/s ±25.4 mm/s to the commanded brake pedal position,
1.122,,performance,The standard allows for the pedal displacement controller to overshoot the commanded position by any amount up to 20 percent.,pedal displacement controller,overshoot,commanded position,by any amount up to 20 percent,
1.123,,performance,"In the event of an overshoot, it may be corrected within 100 ms.",,correct,overshoot,within 100 ms,
1.124,,performance,The achieved brake pedal position is any position within 10 percent of the commanded position from 100 ms after pedal displacement occurs and any overshoot is corrected.,,achieved,brake pedal position,any position within 10 percent of the commanded position from 100 ms after pedal displacement occurs and any overshoot is corrected,
1.125,,functional,The commanded brake pedal application is the brake pedal force that results in a mean deceleration of 0.4 g in the absence of AEB system activation.,,result,mean deceleration of 0.4 g,in the absence of AEB system activation,
1.126,,performance,The mean deceleration is the deceleration over the time from when the commanded brake pedal force is first achieved to 250 ms before the vehicle comes to a stop.,,define,mean deceleration,,
1.127,,performance,The force controller achieves the commanded brake pedal force within 250 ms.,force controller,achieve,commanded brake pedal force,within 250 ms,
1.128,,other,The application rate is unrestricted.,,is,application rate,unrestricted,
1.129,,performance,The force controller may overshoot the commanded force by up to 20 percent.,force controller,overshoot,commanded force,up to 20 percent,
1.130,,performance,"If such an overshoot occurs, it is corrected within 250 ms from when the commanded force is first achieved.",,correct,overshoot,within 250 ms from when the commanded force is first achieved,
1.131,,functional,The force controller applies a pedal force of at least 11.1 N from the onset of the brake application until the end of the test.,force controller,apply,pedal force of at least 11.1 N,from the onset of the brake application until the end of the test,
1.132,,test,NHTSA specifies that any test run is complete when the subject vehicle comes to a complete stop without making contact with the PTM or when the subject vehicle makes contact with the PTM.,NHTSA,specifies,test run completion criteria,when the subject vehicle comes to a complete stop without making contact with the PTM or when the subject vehicle makes contact with the PTM,
1.133,,functional,The PTM is to be secured to a moving apparatus triggered any time after the distance between the front plane of the subject vehicle and a parallel contact plane on the pedestrian test mannequin corresponds to Lo.,PTM,be secured,moving apparatus,triggered any time after the distance between the front plane of the subject vehicle and a parallel contact plane on the pedestrian test mannequin corresponds to Lo,
1.134,,performance,The specifications state that the PTM achieve its intended speed within 1.5 m after the apparatus begins to move.,PTM,achieve,its intended speed,within 1.5 m after the apparatus begins to move,
1.135,,performance,The specifications state that the PTM maintain its intended speed within 0.4 km/h until one of the test completion criteria is satisfied.,PTM,maintain,its intended speed,within 0.4 km/h until one of the test completion criteria is satisfied,
